company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
Hamps Bio Ltd,HAMPS,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Hanman Fit Ltd,HANMAN,BSE SME,Consumer Services,Consumer Services,,Micro,True
Hannah Joseph Hospital Ltd,HANNAH,BSE SME,Healthcare,Healthcare,,Micro,True
Harikanta Overseas Ltd,HARIKANTA,BSE SME,Textiles,Textiles,,Micro,True
Harshdeep Hortico Ltd,HARSHDEEP,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Has Lifestyle Ltd (ITP),HASJUICE (ITP),BSE SME,-,-,,Micro,True
Humming Bird Education Ltd,HBEL,BSE SME,Consumer Services,Consumer Services,,Micro,True
Healthy Life Agritec Ltd,HEALTHYLIFE,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Helloji Holidays Ltd,HELLOJI,BSE SME,Consumer Services,Consumer Services,,Micro,True
Highness Microelectronics Ltd,HIGHNESS,BSE SME,Capital Goods,Capital Goods,,Micro,True
H.M. Electro Mech Ltd,HMEML,BSE SME,Construction,Construction,,Micro,True
Horizon Reclaim (India) Ltd,HORIZON,BSE SME,Capital Goods,Capital Goods,,Micro,True
HPC Biosciences Ltd,HPCBL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
HRS Aluglaze Ltd,HRS,BSE SME,Capital Goods,Capital Goods,,Micro,True
Hemant Surgical Industries Ltd,HSIL,BSE SME,Healthcare,Healthcare,,Micro,True
ICL Organic Dairy Products Ltd,ICLORGANIC,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Icodex Publishing Solutions Ltd,ICODEX,BSE SME,Information Technology,Information Technology,,Micro,True
Icon Facilitators Ltd,ICON,BSE SME,Services,Services,,Micro,True
Identixweb Ltd,IDENTIXWEB,BSE SME,Information Technology,Information Technology,,Micro,True
India Green Reality Ltd,IGRL,BSE SME,Realty,Realty,,Micro,True
Indobell Insulations Ltd,INDOBELL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Indong Tea Company Ltd,INDONG,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
INDO SMC Ltd,INDOSMC,BSE SME,Capital Goods,Capital Goods,,Micro,True
Infinity Infoway Ltd,INFINITY,BSE SME,Information Technology,Information Technology,,Micro,True
Inflame Appliances Ltd,INFLAME,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Infonative Solutions Ltd,INFONATIVE,BSE SME,Information Technology,Information Technology,,Micro,True
Innokaiz India Ltd,INNOKAIZ,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Innovative Ideals and Services (India) Ltd,INNOVATIVE,BSE SME,Services,Services,,Micro,True
Innovators Facade Systems Ltd,INNOVATORS,BSE SME,Capital Goods,Capital Goods,,Micro,True
Innovatus Entertainment Networks Ltd,INNOVATUS,BSE SME,Consumer Services,Consumer Services,,Micro,True
ITCONS E-Solutions Ltd,ITCONS,BSE SME,Services,Services,,Micro,True
Jaisukh Dealers Ltd (ITP),JAISUKH DEAL (ITP),BSE SME,-,-,,Micro,True
Janus Corporation Ltd,JANUSCORP,BSE SME,Diversified,Diversified,,Micro,True
Jayant Infratech Ltd,JAYANT,BSE SME,Construction,Construction,,Micro,True
Jay Kailash Namkeen Ltd,JAYKAILASH,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
JD Cables Ltd,JDCABLES,BSE SME,Capital Goods,Capital Goods,,Micro,True
Jash Dealmark Ltd,JDML,BSE SME,Services,Services,,Micro,True
Jetmall Spices and Masala Ltd,JETMALL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Jet Solar Ltd,JETSOLAR,BSE SME,Realty,Realty,,Micro,True
Jhandewalas Foods Ltd,JFL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Jigar Cables Ltd,JIGAR,BSE SME,Capital Goods,Capital Goods,,Micro,True
Jigyasa Infrastructure Ltd (ITP),JIGYASA (ITP),BSE SME,-,-,,Micro,True
Jinaams Dress Ltd,JINAAM,BSE SME,Textiles,Textiles,,Micro,True
Jointeca Education Solutions Ltd,JOINTECAED,BSE SME,Information Technology,Information Technology,,Micro,True
Jonjua Overseas Ltd,JONJUA,BSE SME,Services,Services,,Micro,True
JLA Infraville Shoppers Ltd,JSHL,BSE SME,Consumer Services,Consumer Services,,Micro,True
Jungle Camps India Ltd,JUNGLECAMP,BSE SME,Consumer Services,Consumer Services,,Micro,True
Justo Realfintech Ltd,JUSTO,BSE SME,Realty,Realty,,Micro,True
Kaarya Facilities and Services Ltd,KAARYAFSL,BSE SME,Services,Services,,Micro,True
Kahan Packaging Ltd,KAHAN,BSE SME,Capital Goods,Capital Goods,,Micro,True
Kaka Industries Ltd,KAKA,BSE SME,Capital Goods,Capital Goods,,Micro,True
Kalyani Cast-Tech Ltd,KALYANI,BSE SME,Capital Goods,Capital Goods,,Micro,True
Kanishk Aluminium India Ltd,KANISHK,BSE SME,Metals & Mining,Metals & Mining,,Micro,True
Karbonsteel Engineering Ltd,KARBON,BSE SME,Construction,Construction,,Micro,True
Kasturi Metal Composite Ltd,KASTURI,BSE SME,Capital Goods,Capital Goods,,Micro,True
